area,depth,baseline,season,season_year,n_hw_days,cum_intensity,mean_intensity,max_intensity,n_events,mean_duration,max_duration,mean_peak_intensity,max_peak_intensity,mean_event_severity,mean_gap_days_between_events,median_gap_days_between_events,n_hw_days_u,cum_intensity_u,delta_n_hw_days_unsmoothed,delta_cum_intensity_unsmoothed,n_hw_days_p2p5,n_hw_days_p50,n_hw_days_p97p5,cum_int_p2p5,cum_int_p50,cum_int_p97p5
SD22,bottom,A,SON,1973,10,1.3578841767640029,0.1357884176764003,0.25981568068420025,1,10,10,0.25981568068420025,0.25981568068420025,1,NA,NA,5,0.28051789023518836,5,1.0773662865288145,0,9,27,0,1.2170141126158036,4.065035055238498
SD22,bottom,A,DJF,1974,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1974,33,5.196565716322295,0.15747168837340292,0.4355674269423009,3,11,18,0.2983931575196242,0.4355674269423009,1,22.5,22.5,28,3.444788667141877,5,1.7517770491804185,14,33,52,1.8321782270135214,5.2607947968640945,9.02729091589483
SD22,bottom,A,MAM,1974,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1974,25,4.896251247327132,0.19585004989308524,0.6875646471845993,2,12.5,19,0.4233700285103348,0.6875646471845993,1,66,66,25,4.828751247327135,0,0.06749999999999634,7,25,47,0.8085434729152031,4.5197265146115715,10.692700263720445
SD22,bottom,A,DJF,1975,74,18.037250534568788,0.24374662884552403,0.5533977191731996,2,37,57,0.42802651461154495,0.5533977191731996,1,3,3,84,19.423607840342118,-10,-1.3863573057733305,57,75,87,11.395673560228055,17.842797042052723,25.249020805417004
SD22,bottom,A,JJA,1975,53,20.350061012116747,0.3839634153229574,1.0618129722024001,4,13.25,27,0.4770485566642755,1.0618129722024001,1.0648148148148149,13,10,48,16.9907055595151,5,3.3593554526016476,32,53,73,8.68764359052059,20.003934640056897,34.63305802209473
SD22,bottom,A,MAM,1975,5,0.3540588025659277,0.07081176051318554,0.09586650035637945,1,5,5,0.09586650035637945,0.09586650035637945,1,NA,NA,13,0.9321671418389101,-8,-0.5781083392729824,0,4,14,0,0.30592473271560827,1.014060254811113
SD22,bottom,A,SON,1975,72,38.696043977191586,0.537445055238772,0.9384171774768406,2,36,51,0.81567594440487,0.9384171774768406,1.2058823529411766,19,19,67,38.017324233784684,5,0.6787197434069014,52,73,89,24.003622289736207,39.0140445473983,53.12530697434059
SD22,bottom,A,DJF,1976,29,7.411238203848921,0.2555599380637559,0.5449179615110502,2,14.5,18,0.35533788310763015,0.5449179615110502,1,4,4,25,6.864989950106931,4,0.5462482537419895,9,29,51.02499999999998,1.2361756272274111,7.140984960798335,15.802705550605877
SD22,bottom,A,JJA,1976,39,13.775961796150797,0.3532297896448922,0.7285511047754998,2,19.5,22,0.7060798645758997,0.7285511047754998,1,19,19,43,11.442076835352507,-4,2.33388496079829,18.975,39,60,6.143264688167759,14.015926229507844,22.81734242159621
SD22,bottom,A,MAM,1976,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,SON,1976,13,1.5825582323592062,0.12173524864301585,0.41433570919460116,2,6.5,10,0.296507091945851,0.41433570919460116,1,13,13,16,0.7815457590876491,-3,0.8010124732715571,1,13,28.024999999999977,0.03402815395580028,1.5140212758374565,3.6331063970065136
SD22,bottom,A,DJF,1977,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
SD22,bottom,A,JJA,1977,6,0.5187034212402075,0.08645057020670126,0.14639429793299996,1,6,6,0.14639429793299996,0.14639429793299996,1,NA,NA,6,0.41770342124020665,0,0.10100000000000087,0,6,16,0,0.5180118317890283,1.4573849305060738
SD22,bottom,A,MAM,1977,64,7.887386101211725,0.12324040783143327,0.2945794012829701,1,64,64,0.2945794012829701,0.2945794012829701,1,NA,NA,62,9.165231860299393,2,-1.2778457590876684,41.975,64,84.02499999999998,3.424061856735612,7.835311154668609,12.234498225231672
